/home/linuxbrew/.linuxbrew/bin/java  -classpath /home/farquad/project/fork/GDPRbench/src/conf:/home/farquad/project/fork/GDPRbench/src/core/target/core-0.16.0-SNAPSHOT.jar:/home/farquad/project/fork/GDPRbench/src/core/target/dependency/HdrHistogram-2.1.4.jar:/home/farquad/project/fork/GDPRbench/src/core/target/dependency/htrace-core4-4.2.0-incubating.jar:/home/farquad/project/fork/GDPRbench/src/jdbc/src/main/conf:/home/farquad/project/fork/GDPRbench/src/jdbc/target/jdbc-binding-0.16.0-SNAPSHOT.jar:/home/farquad/project/fork/GDPRbench/src/jdbc/target/dependency/checker-qual-3.5.0.jar:/home/farquad/project/fork/GDPRbench/src/jdbc/target/dependency/commons-collections-3.2.1.jar:/home/farquad/project/fork/GDPRbench/src/jdbc/target/dependency/commons-lang-2.4.jar:/home/farquad/project/fork/GDPRbench/src/jdbc/target/dependency/commons-pool-1.5.4.jar:/home/farquad/project/fork/GDPRbench/src/jdbc/target/dependency/geronimo-jms_1.1_spec-1.1.1.jar:/home/farquad/project/fork/GDPRbench/src/jdbc/target/dependency/geronimo-jta_1.1_spec-1.1.1.jar:/home/farquad/project/fork/GDPRbench/src/jdbc/target/dependency/jackson-annotations-2.10.2.jar:/home/farquad/project/fork/GDPRbench/src/jdbc/target/dependency/jackson-annotations-2.12.3.jar:/home/farquad/project/fork/GDPRbench/src/jdbc/target/dependency/jackson-core-2.10.2.jar:/home/farquad/project/fork/GDPRbench/src/jdbc/target/dependency/jackson-core-2.12.3.jar:/home/farquad/project/fork/GDPRbench/src/jdbc/target/dependency/jackson-databind-2.10.2.jar:/home/farquad/project/fork/GDPRbench/src/jdbc/target/dependency/jackson-dataformat-xml-2.12.3.jar:/home/farquad/project/fork/GDPRbench/src/jdbc/target/dependency/jackson-module-jaxb-annotations-2.12.3.jar:/home/farquad/project/fork/GDPRbench/src/jdbc/target/dependency/jakarta.activation-api-1.2.1.jar:/home/farquad/project/fork/GDPRbench/src/jdbc/target/dependency/jakarta.xml.bind-api-2.3.2.jar:/home/farquad/project/fork/GDPRbench/src/jdbc/target/dependency/okhttp-3.11.0.jar:/home/farquad/project/fork/GDPRbench/src/jdbc/target/dependency/okio-1.14.0.jar:/home/farquad/project/fork/GDPRbench/src/jdbc/target/dependency/openjpa-jdbc-2.1.1.jar:/home/farquad/project/fork/GDPRbench/src/jdbc/target/dependency/openjpa-kernel-2.1.1.jar:/home/farquad/project/fork/GDPRbench/src/jdbc/target/dependency/openjpa-lib-2.1.1.jar:/home/farquad/project/fork/GDPRbench/src/jdbc/target/dependency/postgresql-42.2.20.jar:/home/farquad/project/fork/GDPRbench/src/jdbc/target/dependency/serp-1.13.1.jar:/home/farquad/project/fork/GDPRbench/src/jdbc/target/dependency/stax2-api-4.2.1.jar:/home/farquad/project/fork/GDPRbench/src/jdbc/target/dependency/woodstox-core-6.2.4.jar com.yahoo.ycsb.Client -load -db com.yahoo.ycsb.db.JdbcDBClient -P ./jdbc/src/main/conf/db.properties -P ./workloads/gdpr_customer -s
Adding shard node URL: jdbc:postgresql://127.0.0.1:5432/test
Using shards: 1, batchSize:-1, fetchSize: -1
[OVERALL], RunTime(ms), 111016
[OVERALL], Throughput(ops/sec), 90.07710600273835
[TOTAL_GCS_G1_Young_Generation], Count, 7
[TOTAL_GC_TIME_G1_Young_Generation], Time(ms), 97
[TOTAL_GC_TIME_%_G1_Young_Generation], Time(%), 0.0873747928226562
[TOTAL_GCS_G1_Old_Generation], Count, 0
[TOTAL_GC_TIME_G1_Old_Generation], Time(ms), 0
[TOTAL_GC_TIME_%_G1_Old_Generation], Time(%), 0.0
[TOTAL_GCs], Count, 7
[TOTAL_GC_TIME], Time(ms), 97
[TOTAL_GC_TIME_%], Time(%), 0.0873747928226562
[CLEANUP], Operations, 1
[CLEANUP], AverageLatency(us), 2935.0
[CLEANUP], MinLatency(us), 2934
[CLEANUP], MaxLatency(us), 2935
[CLEANUP], 95thPercentileLatency(us), 2935
[CLEANUP], 99thPercentileLatency(us), 2935
[INSERT], Operations, 10000
[INSERT], AverageLatency(us), 11044.3152
[INSERT], MinLatency(us), 6204
[INSERT], MaxLatency(us), 127807
[INSERT], 95thPercentileLatency(us), 17279
[INSERT], 99thPercentileLatency(us), 20431
[INSERT], Return=OK, 10000
